business,name,city,state,country,energyType,date,size,longitude,latitude
"50% AWS, 50% Amazon.com",Amazon Solar Farm Italy - Paterno,Italy,Italy,Italy,Solar farm,2022,26.4,14.84,37.515
AWS,Amazon Solar Farm Spain - Canes 1,Spain,Spain,Spain,Solar farm,2025,31.68,-2.962,40.303
AWS,Amazon Solar Farm Virginia - Fort Powhatan,Prince George County,Virginia,US,Solar farm,2021,150,-77.08,37.26
AWS,Amazon Solar Farm Ohio - Clearview Solar,Champain County,Ohio,US,Solar farm,2025,99,83.995,40.261
AWS,Amazon Solar Farm Virginia - New Kent,New Kent County,Virginia,US,Solar farm,2017,20,-76.993,37.469
AWS,Amazon Solar Farm Ohio - Union,Union County,Ohio,US,Solar farm,2023,293,-83,40
AWS ,Amazon Wind Farm Germany,Germany,Germany,Germany,Wind farm,2027,130,14.029,54.89
AWS,Amazon Wind Farm Ireland - Cork,Cork,Ireland,Ireland,Wind farm,2020,23.2,-8.565,51.921
AWS,Amazon Solar Farm Virginia - Sappony,Sussex County,Virginia,US,Solar farm,2017,20,-77.248,36.938
AWS,Amazon Solar Farm Ohio - Dodson Creek,Highland County,Ohio,US,Solar farm,2023,100,-83.5,39.22
AWS,Amazon Solar Farm Spain - Eiden,Spain,Spain,Spain,Solar farm,2025,26.88,-1.19,39.05
AWS,Amazon Wind Farm Spain - Monte Becerril,Spain,Spain,Spain,Wind farm,2025,17.28,-4.591,42.149
AWS,Amazon Solar Farm India - Rajasthan Jaisalmer,Rajasthan,India,India,Solar farm,2023,210,71.043,26.315
AWS,Amazon Solar Farm Ohio - Yellowbud,Ross County,Ohio,US,Solar farm,2023,274,-83.15,39.55
AWS,Amazon Solar Farm Spain - Hijar I,Zaragoza,Spain,Spain,Solar farm,2021,49,-0.889,41.649
AWS,Amazon Solar Farm France - Saint Frichoux,Saint Frichoux,France,France,Solar farm,2025,23.4,2.551,43.256
AWS,Amazon Texas Great Prairie Wind Farm,Hansford County,Texas,US,Wind farm,2022,868.56,-101.392,36.497
AWS,Amazon Solar Farm Delaware - Solidago,New Castle County,Delaware,US,Solar farm,2022,50,-75.754,39.395
AWS,Amazon Wind Farm Europe,Europe,Europe,Europe,Wind farm,2027,129.9,4.556,55.687
AWS,Amazon Wind Farm Sweden - Lyckas,Sweden,Sweden,Sweden,Wind farm,2025,40.5,14.319,57.843
AWS,Amazon Solar Farm Arkansas - Big Cypress,Crittenden,Arkansas,US,Solar farm,2023,120,-90.194,35.185
