business,name,city,state,country,energyType,date,size,longitude,latitude,aws_percent,aws_size_MW
"25% AWS, 75% Amazon.com",Amazon Solar Farm India - Rajasthan Bhadla,Rajasthan,India,India,Solar farm,2023,100,72.477,27.508,75%,75
AWS,Amazon Solar Farm India - Rajasthan Bikaner,Rajasthan,India,India,Solar farm,2023,110,73.023,28.854,100%,110
AWS,Amazon Solar Farm Missouri - Blue Bird,Warren County,Missouri,US,Solar farm,2023,139,91.138,38.894,100%,139
AWS,Amazon Wind Farm China – Qian'an,China,China,China,Wind farm,2023,100,123.65,44.95,100%,100
AWS,Amazon Wind Farm China – Daqing,China,China,China,Wind farm,2023,100,124.867,46.533,100%,100
AWS,Amazon Solar Farm Japan I,Japan,Japan,Japan,Solar farm,2023,22,139.421,36.311,100%,22
AWS,Amazon Solar Farm Honshu,Japan,Japan,Japan,Solar farm,2023,38,140.376,35.705,100%,38
AWS,Amazon Solar + Storage Farm California - Silver Peak,San Bernardino County,California,US,Solar farm,2024,50,-117.454,34.609,100%,50
AWS,Amazon Solar + Storage California - Baldy Mesa,San Bernardino County,California,US,Solar farm,2024,150,-117.454,34.61,100%,150
AWS,Amazon Solar + Storage Arizona - McFarland,Yuma County,Arizona,US,Solar farm,2024,300,-113.481,32.951,100%,300
AWS,Amazon Solar Farm Texas - Desert Willow,Swisher County,Texas,US,Solar farm,2024,175,-102.967,34.484,100%,175
AWS,Amazon Wind Farm Texas - Montgomery Ranch,Foard and Knox County,Texas,US,Wind farm,2024,200,-99.63,33.84,100%,200
AWS,Amazon Solar Farm Texas – Lake Whitney,Bosque County,Texas,US,Solar farm,2024,200,-97.393,31.844,100%,200
AWS,Amazon Solar Farm Louisiana – St Landry,St Landry Parish,Louisiana,US,Solar farm,2024,100,-91.967,30.511,100%,100
AWS,Amazon Wind Farm Mississippi - Delta Wind,Tunica County,Mississippi,US,Wind farm,2024,184,-90.398,34.501,100%,184
AWS,Amazon Solar Farm Mississippi - Ragsdale,Madison County,Mississippi,US,Solar farm,2024,100,-90,32.549999,100%,100
AWS,Amazon Solar Farm Arkansas - Crooked Lake,Mississippi,Arkansas,US,Solar farm,2024,175,-89.79,35.92,100%,175
AWS,Amazon Solar Farm Indiana - Maple,Huntington County,Indiana,US,Solar farm,2024,35,-85.38,40.694,100%,35
AWS,Amazon Solar Farm Indiana - Randolph II,Randolph County,Indiana,US,Solar farm,2024,150,-85.17,40.145,100%,150
AWS,Amazon Solar Farm Ohio - Highland,Highland County,Ohio,US,Solar farm,2024,300,-83.795,39.071,100%,300
AWS,Amazon Solar Farm Ohio - Madison Fields,Madison County,Ohio,US,Solar farm,2024,180,-83.486,40.082,100%,180
AWS,Amazon Solar Farm Ohio - Fayette,Fayette,Ohio,US,Solar farm,2024,47.5,-83.401,39.383,100%,47.5
AWS,Ohio Solar Project I,Marion County,Ohio,US,Solar farm,2024,100,-83.15,40.62,100%,100
AWS,Amazon Solar Farm Foxhound - Virginia,Halifax,Virginia,US,Solar farm,2024,72.9,-78.748,36.866,100%,72.9
AWS,Amazon Solar Farm Virginia - Bartonsville 2,Frederick County,Virginia,US,Solar farm,2024,50,-78.232,39.086,100%,50
