year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,provider-cfe-hourly,provider-cfe-annual,power-usage-effectiveness,water-usage-effectiveness,provider-carbon-intensity-market-annual,provider-carbon-intensity-average-consumption-hourly,grid-carbon-intensity-average-consumption-annual,grid-carbon-intensity-marginal-consumption-annual,grid-carbon-intensity-average-production-annual,grid-carbon-intensity,total-ICT-energy-consumption-annual,total-water-input,renewable-energy-consumption,renewable-energy-consumption-goe,renewable-energy-consumption-ppa,renewable-energy-consumption-onsite
2026,Microsoft Azure,denmarkeast,Denmark,DK-DK2,DK,Denmark,"55.685, 12.584",1.0,0.1,1.16,0.04,0.0,,136.81,643.49,184.21,660.0,,,,,,
2026,Microsoft Azure,eastus,PJM,US-MIDA-PJM,PJM_DC,Virginia: East US,"36.68,-78.377",1.0,0.7,1.165,0.43,0.0,,396.25,557.17,396.77,565.0,,,,,,
2026,Microsoft Azure,eastus2,PJM,US-MIDA-PJM,PJM_DC,Virginia: East US 2,"36.68,-78.377",1.0,0.7,1.165,0.43,0.0,,396.25,557.17,396.77,565.0,,,,,,
2026,Microsoft Azure,eastus3,SOCO,US-SE-SOCO,SOCO,Georgia: East US 3,"33.76,-84.401",1.0,0.08,1.18,0.48,0.0,,435.76,530.63,440.35,534.0,,,,,,
2026,Microsoft Azure,greececentral,Greece,GR,GR,Greece Central,"37.987, 23.745",1.0,0.46,1.18,0.0,0.0,,368.75,445.16,342.79,438.0,,,,,,
2026,Microsoft Azure,indiasouthcentral,India,IN-SO,IND,India South Central,"17.385,78.4867 ",1.0,0.46,1.23,0.38,0.0,,551.31,832.74,549.72,679.0,,,,,,
2026,Microsoft Azure,italynorth,North Italy,IT-NO,IT,Italy North,"45.4669,9.19",1.0,0.15,1.18,0.03,0.0,,298.62,386.08,379.97,386.0,,,,,,
2026,Microsoft Azure,mexicocentral,Mexico,MX,MX_SIN,Mexico Central,"20.631, -100.428",1.0,0.05,1.18,0.48,0.0,,89.55,417.76,90.41,422.0,,,,,,
2026,Microsoft Azure,newzealandnorth,New Zealand,NZ,NZL,New Zealand,"-36.867, 174.751",1.0,0.26,1.33,0.38,0.0,,96.81,704.69,96.81,623.65,,,,,,
2026,Microsoft Azure,northcentralus,MISO,US-MIDW-MISO,MISO_SPRINGFIELD,Illinois: North Central US,"41.832,-87.673",1.0,0.7,1.11,0.12,0.0,,501.42,628.91,518.84,539.0,,,,,,
2026,Microsoft Azure,northeurope,Ireland,IE,IE,Ireland,"53.35,-6.2603 ",1.0,0.59,1.17,0.04,0.0,,403.4,488.25,416.03,508.0,,,,,,
2026,Microsoft Azure,polandcentral,Poland,PL,PL,Poland Central,"52.23,21.0111",1.0,0.46,1.18,0.03,0.0,,749.28,862.29,794.76,852.0,,,,,,
2026,Microsoft Azure,southcentralus,ERCOT,US-TEX-ERCO,ERCOT_SANANTONIO,Texas: South Central US,"29.453,-98.508",1.0,1.0,1.111,0.04,0.0,,388.76,518.56,388.25,441.0,,,,,,
2026,Microsoft Azure,southeastasia,southeastasia,SG,SGP,Singapore,"1.352,103.835",1.0,0.13,1.254,0.0,0.0,,487.52,349.01,487.06,409.0,,,,,,
2026,Microsoft Azure,spaincentral,Spain,ES,ES,Spain Central,"40.44,-3.679",1.0,0.15,1.18,0.03,0.0,,153.86,363.46,154.56,370.0,,,,,,
2026,Microsoft Azure,swedencentral,Sweden,SE,SE,Sweden,"59.329,18.067",1.0,1.0,1.156,0.0,0.0,,24.71,791.26,21.28,782.0,,,,,,
2026,Microsoft Azure,taiwannorth,Taiwan,TW,TWN,Taiwan,"25.0375,121.5625",1.0,0.26,1.32,0.0,0.0,,537.64,551.9,537.76,623.65,,,,,,
2026,Microsoft Azure,westcentralus,,,WACM,Wyoming: West Central US,"41.130,-104.83",1.0,0.47,1.172,0.4,0.0,,305.27,905.93,328.98,519.25,,,,,,
2026,Microsoft Azure,westeurope,Netherlands,NL,NL,Netherlands,"51.9167,4.5",1.0,0.79,1.161,0.0,0.0,,283.17,501.34,292.61,487.0,,,,,,
2026,Microsoft Azure,westus,BPA,US-NW-BPAT,BPA,Washington: West US,"47.247,-119.82",1.0,0.47,1.161,0.04,0.0,,119.76,476.66,68.82,427.0,,,,,,
2026,Microsoft Azure,westus3,,,AZPS,Arizona: west US 3,"33.471,-112.056",1.0,0.47,1.139,0.04,0.0,,305.27,532.74,328.98,519.25,,,,,,
