year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,provider-cfe-hourly,provider-cfe-annual,power-usage-effectiveness,water-usage-effectiveness,provider-carbon-intensity-market-annual,provider-carbon-intensity-average-consumption-hourly,grid-carbon-intensity-average-consumption-annual,grid-carbon-intensity-marginal-consumption-annual,grid-carbon-intensity-average-production-annual,grid-carbon-intensity,total-ICT-energy-consumption-annual,total-water-input,renewable-energy-consumption,renewable-energy-consumption-goe,renewable-energy-consumption-ppa,renewable-energy-consumption-onsite
2022,Amazon Web Services,ca-central-1,Quebec,CA-QC,HQ,Canada (Central),"45.5089,-73.5617",,1.0,1.26,0.19,0.0,,28.22,462.2451779,27.92,462.0,,,,,,
2022,Amazon Web Services,cn-north-1,,,CHN,China (Beijing),"39.904,116.4075 ",,1.0,,0.19,0.0,,,,,,,,,,,
2022,Amazon Web Services,cn-northwest-1,,,CHN,China (Ningxia),"38.4795,106.2254 ",,1.0,1.28,0.19,0.0,,,,,,,,,,,
2022,Amazon Web Services,eu-central-1,Germany,DE,DE,Europe (Frankfurt),"50.1106,8.6822",,1.0,1.32,0.19,0.0,,474.46,741.7175367,488.94,742.0,,,,,,
2022,Amazon Web Services,eu-central-2,Switzerland,CH,CH,Europe (Zurich),"47.3744,8.5411",,1.0,,0.19,0.0,,148.39,778.7844238,49.5,779.0,,,,,,
2022,Amazon Web Services,eu-north-1,Sweden,SE,SE,Europe (Stockholm),"59.3294,18.0686 ",,1.0,1.12,0.19,0.0,,25.82,781.7946219,22.63,782.0,,,,,,
2022,Amazon Web Services,eu-south-1,North Italy,IT-NO,IT,Europe (Milan),"45.4669,9.19",,1.0,,0.19,0.0,,369.48,385.8847276,445.96,386.0,,,,,,
2022,Amazon Web Services,eu-south-2,Spain,ES,ES,Europe (Spain),"40.3333,-3.8667",,1.0,,0.19,0.0,,220.63,370.288102,220.31,370.0,,,,,,
2022,Amazon Web Services,eu-west-1,Ireland,IE,IE,Europe (Ireland),"53.35,-6.2603 ",,1.0,1.1,0.19,0.0,,404.89,507.95177,404.88,508.0,,,,,,
2022,Amazon Web Services,eu-west-2,Great Britain,GB,UK,Europe (London),"51.726,-0.3",,1.0,,0.19,0.0,,220.45,427.7283704,223.87,428.0,,,,,,
